2.553430271986286026e+00 9.999000000000000000e+03
7.659726804285631019e+00 9.722000000000000000e+03
1.276602333658497557e+01 9.347000000000000000e+03
1.787231986888432189e+01 9.135000000000000000e+03
2.297861640118366822e+01 8.901000000000000000e+03
2.808491293348301099e+01 8.763000000000000000e+03
3.319120946578235731e+01 8.609000000000000000e+03
3.829750599808170364e+01 8.459000000000000000e+03
4.340380253038105707e+01 8.266000000000000000e+03
4.851009906268039629e+01 8.059000000000000000e+03
5.361639559497974972e+01 7.941000000000000000e+03
5.872269212727908894e+01 7.764000000000000000e+03
6.382898865957842816e+01 7.665000000000000000e+03
6.893528519187776737e+01 7.554000000000000000e+03
7.404158172417712080e+01 7.367000000000000000e+03
7.914787825647647423e+01 7.135000000000000000e+03
8.425417478877579924e+01 7.167000000000000000e+03
8.936047132107515267e+01 7.125000000000000000e+03
9.446676785337450610e+01 6.801000000000000000e+03
9.957306438567384532e+01 6.770000000000000000e+03
1.046793609179731845e+02 6.550000000000000000e+03
1.097856574502725380e+02 6.529000000000000000e+03
1.148919539825718914e+02 6.280000000000000000e+03
1.199982505148712164e+02 6.167000000000000000e+03
1.251045470471705698e+02 6.280000000000000000e+03
1.302108435794699233e+02 6.072000000000000000e+03
1.353171401117692767e+02 6.032000000000000000e+03
1.404234366440686017e+02 6.040000000000000000e+03
1.455297331763679836e+02 5.703000000000000000e+03
1.506360297086673086e+02 5.745000000000000000e+03
1.557423262409666620e+02 5.661000000000000000e+03
1.608486227732660154e+02 5.610000000000000000e+03
1.659549193055653404e+02 5.528000000000000000e+03
1.710612158378646939e+02 5.360000000000000000e+03
1.761675123701640473e+02 5.432000000000000000e+03
1.812738089024633723e+02 5.419000000000000000e+03
1.863801054347627542e+02 5.328000000000000000e+03
1.914864019670620792e+02 5.333000000000000000e+03
1.965926984993614042e+02 5.282000000000000000e+03
2.016989950316607860e+02 5.382000000000000000e+03
2.068052915639601110e+02 5.329000000000000000e+03
2.119115880962594360e+02 5.319000000000000000e+03
2.170178846285588179e+02 5.264000000000000000e+03
2.221241811608581429e+02 5.238000000000000000e+03
2.272304776931574963e+02 5.403000000000000000e+03
2.323367742254568498e+02 5.410000000000000000e+03
2.374430707577561748e+02 5.323000000000000000e+03
2.425493672900555282e+02 5.386000000000000000e+03
2.476556638223548816e+02 5.293000000000000000e+03
2.527619603546542066e+02 5.459000000000000000e+03
2.578682568869535316e+02 5.485000000000000000e+03
2.629745534192528567e+02 5.664000000000000000e+03
2.680808499515522385e+02 5.535000000000000000e+03
2.731871464838515635e+02 5.653000000000000000e+03
2.782934430161509454e+02 5.688000000000000000e+03
2.833997395484502704e+02 5.796000000000000000e+03
2.885060360807495954e+02 5.838000000000000000e+03
2.936123326130489204e+02 5.952000000000000000e+03
2.987186291453483022e+02 6.052000000000000000e+03
3.038249256776476841e+02 6.038000000000000000e+03
3.089312222099470091e+02 6.147000000000000000e+03
3.140375187422463341e+02 6.262000000000000000e+03
3.191438152745456591e+02 6.202000000000000000e+03
3.242501118068450410e+02 6.358000000000000000e+03
3.293564083391443660e+02 6.475000000000000000e+03
3.344627048714437478e+02 6.378000000000000000e+03
3.395690014037430728e+02 6.499000000000000000e+03
3.446752979360423979e+02 6.633000000000000000e+03
3.497815944683417229e+02 6.673000000000000000e+03
3.548878910006411047e+02 6.804000000000000000e+03
3.599941875329404866e+02 6.902000000000000000e+03
3.651004840652398116e+02 6.901000000000000000e+03
3.702067805975391366e+02 6.815000000000000000e+03
3.753130771298384616e+02 6.838000000000000000e+03
3.804193736621378434e+02 6.933000000000000000e+03
3.855256701944371684e+02 6.721000000000000000e+03
3.906319667267365503e+02 6.616000000000000000e+03
3.957382632590358753e+02 6.535000000000000000e+03
4.008445597913352003e+02 6.532000000000000000e+03
4.059508563236345253e+02 6.478000000000000000e+03
4.110571528559339072e+02 6.244000000000000000e+03
4.161634493882332322e+02 6.133000000000000000e+03
4.212697459205326140e+02 5.721000000000000000e+03
4.263760424528319390e+02 5.709000000000000000e+03
4.314823389851312641e+02 5.437000000000000000e+03
4.365886355174306459e+02 5.170000000000000000e+03
4.416949320497299709e+02 4.963000000000000000e+03
4.468012285820293528e+02 4.706000000000000000e+03
4.519075251143286778e+02 4.480000000000000000e+03
4.570138216466280028e+02 4.036000000000000000e+03
4.621201181789273278e+02 3.865000000000000000e+03
4.672264147112267096e+02 3.629000000000000000e+03
4.723327112435260347e+02 3.416000000000000000e+03
4.774390077758254165e+02 3.217000000000000000e+03
4.825453043081247415e+02 3.045000000000000000e+03
4.876516008404240665e+02 2.862000000000000000e+03
4.927578973727233915e+02 2.642000000000000000e+03
4.978641939050227734e+02 2.417000000000000000e+03
5.029704904373221552e+02 2.322000000000000000e+03
5.080767869696214802e+02 2.147000000000000000e+03
5.131830835019208052e+02 2.046000000000000000e+03
5.182893800342201303e+02 1.935000000000000000e+03
5.233956765665195690e+02 1.754000000000000000e+03
5.285019730988190076e+02 1.696000000000000000e+03
5.336082696311182190e+02 1.572000000000000000e+03
5.387145661634176577e+02 1.494000000000000000e+03
5.438208626957168690e+02 1.486000000000000000e+03
5.489271592280163077e+02 1.445000000000000000e+03
5.540334557603156327e+02 1.302000000000000000e+03
5.591397522926149577e+02 1.337000000000000000e+03
5.642460488249143964e+02 1.231000000000000000e+03
5.693523453572136077e+02 1.198000000000000000e+03
5.744586418895130464e+02 1.205000000000000000e+03
5.795649384218122577e+02 1.168000000000000000e+03
5.846712349541116964e+02 1.111000000000000000e+03
5.897775314864111351e+02 1.043000000000000000e+03
5.948838280187103464e+02 1.056000000000000000e+03
5.999901245510097851e+02 1.012000000000000000e+03
6.050964210833089965e+02 1.012000000000000000e+03
6.102027176156084352e+02 1.025000000000000000e+03
6.153090141479078738e+02 9.930000000000000000e+02
